Year ,Estimate Population,Natural Population Change,Birth,Birth rate,Death,Death rate,Natural inc,International mig,Domestic Change,Net Mig,Residual,
2011,5367069,64336,73825, ,32077, ,41748,10241,12243,22484,104,5431405
2012,5445543,78474,72541,-1284,31383,-694,41158,14798,22099,36897,419,5523598
2013,5512111,66568,71158,-1383,33696,2313,37462,17071,11896,28967,139,5578540
2014,5595218,83107,72498,1340,34077,381,38421,13016,31786,44802,-116,5678441
2015,5688583,93365,73732,1234,36041,1964,37691,18718,37043,55761,-87,5782035
2016,5791874,103291,73615,-117,36495,454,37120,27390,38801,66191,-20,5895185
2017,5876763,84889,72976,-639,37464,969,35512,17571,31798,49369,8,5961644
2018,5951394,74631,72128,-848,38923,1459,33205,14681,26736,41417,9,6026016
2019,6027231,75837,70896,-1232,40402,1479,30494,13551,31762,45313,30,6103038
2020,6087762,60531,71104,208,44971,4569,26133,10787,23587,34374,24,6148269
2021,6160570,14281,68147,-2957,50786,5815,17361,8386,13329,21715,408,6199646
2022,6253070,39484,71057,2910,51140,354,19917,35726,37860,73586,-1003,6346573
2023,6336015,92500,71569,512,45682,-5458,25887,40759,16258,57017,41,6418919
2024,6411149,75134,71508,-61,44592,-1090,26916,49691,-1328,48363,-145,6486428
,,,,-2317,,12515,,,,,,
, ,,,,,,,,,,,
